filename,kappa,c,logL,detector,duration,sample_rate,filepath
G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5,0.0,0.0,-576089.8348694122,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5,0.0,0.75,-576089.8348694122,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5,1.0,0.0,-127971.91366813867,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5,1.0,0.75,-127408.33792670692,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5,0.0,0.0,-576089.8520674349,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5,0.0,0.75,-576089.8520674349,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5,1.0,0.0,-127971.91180047215,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5,1.0,0.75,-127408.33632165389,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5,0.0,0.0,-576089.8443196894,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5,0.0,0.75,-576089.8443196894,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5,1.0,0.0,-127971.91264185894,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5,1.0,0.75,-127408.3370447323,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5,0.0,0.0,-576089.8401251662,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5,0.0,0.75,-576089.8401251662,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5,1.0,0.0,-127971.91309737269,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5,1.0,0.75,-127408.3374361948,G1,4096,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5,0.0,0.0,-576166.2635304583,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5,0.0,0.75,-576166.2635304583,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5,1.0,0.0,-127963.61655137644,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5,1.0,0.75,-127401.20784289308,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5,0.0,0.0,-576285.8872999041,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5,0.0,0.75,-576285.8872999041,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5,1.0,0.0,-127950.64158888377,G1,4096,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5
