filename,best_kappa,best_c,best_logL,entropy_shape,data_points,energy_min,energy_max,obs_min,obs_max,meta_detector,meta_duration,meta_sample_rate,meta_filepath
G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5,1.0,0.75,-127408.33792670692,log,400,100.0,150.0,0.001,0.005,G1,4096.0,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5,1.0,0.75,-127408.33632165389,log,400,100.0,150.0,0.001,0.005,G1,4096.0,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5,1.0,0.75,-127408.3370447323,log,400,100.0,150.0,0.001,0.005,G1,4096.0,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270329344-4096.hdf5
G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5,1.0,0.75,-127408.3374361948,log,400,100.0,150.0,0.001,0.005,G1,4096.0,16384.0,data\G-G1_GWOSC_O3GK_16KHZ_R1-1270333440-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5,1.0,0.75,-127401.20784289308,log,400,100.0,150.0,0.001,0.005,G1,4096.0,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270321152-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5,1.0,0.75,-127390.05932676177,log,400,100.0,150.0,0.001,0.005,G1,4096.0,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270325248-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270329344-4096.hdf5,1.0,0.75,-127396.59721595164,log,400,100.0,150.0,0.001,0.005,G1,4096.0,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270329344-4096.hdf5
G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5,1.0,0.75,-127393.9241029787,log,400,100.0,150.0,0.001,0.005,G1,4096.0,4096.0,data\G-G1_GWOSC_O3GK_4KHZ_R1-1270333440-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5,1.0,0.75,-127385.66557526024,log,400,100.0,150.0,0.001,0.005,H1,32.0,16384.0,data\H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5
H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5,1.0,0.75,-127380.068497662,log,400,100.0,150.0,0.001,0.005,H1,32.0,16384.0,data\H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5
H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5,1.0,0.75,-127354.55296882188,log,400,100.0,150.0,0.001,0.005,H1,32.0,16384.0,data\H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5
